bus,status,pg_mw,qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,q_limit_utilization
905,1,2.22,-0.11,0.33,2.23,-0.11,0.85,1
906,1,2.22,-0.11,0.53,2.23,-0.11,0.85,1
906,1,2.22,-0.11,0.61,2.23,-0.11,0.85,1
909,1,2,0.77,0.55,2,-0.1,0.77,1
909,1,2,0.77,0.25,2,-0.1,0.77,1
912,0,0,0,0.78,2.1,-0.1,0.81,NaN
912,1,2.1,0.81,0.44,2.1,-0.1,0.81,1
915,1,1.47,-0.07,0.43,1.47,-0.07,0.56,1
916,1,1.47,-0.07,0.67,1.47,-0.07,0.56,1
918,0,0,0,0.36,1.47,-0.07,0.56,NaN
918,1,1.47,-0.07,0.21,1.47,-0.07,0.56,1
919,0,0,0,0.73,1.47,-0.07,0.56,NaN
920,1,1.47,-0.07,0.73,1.47,-0.07,0.56,1
924,0,0,0,1.09,3,-0.15,1.15,NaN
929,1,7.42,-0.36,0.89,7.42,-0.36,2.85,1
930,1,7.42,-0.36,2.21,7.42,-0.36,2.85,1
930,1,7.42,-0.36,1.81,7.42,-0.36,2.85,1
931,1,7.42,1.96347709352571,0.99,7.42,-0.36,2.85,0.688939331061651
931,1,7.42,1.96347709352571,3.09,7.42,-0.36,2.85,0.688939331061651
932,1,7.42,2.85,1.72,7.42,-0.36,2.85,1
935,1,3,-0.15,1.06,3,-0.15,1.15,1
936,1,3,-0.15,0.57,3,-0.15,1.15,1
939,1,3,-0.15,0.48,3,-0.15,1.15,1
940,1,3,-0.15,1.22,3,-0.15,1.15,1
944,1,1,-0.05,0.43,1,-0.05,0.38,1
946,0,0,0,10.23,50.6,-7.29,10.78,NaN
950,1,0.52,-0.03,0.11,0.52,-0.03,0.2,1
950,1,0.52,-0.03,0.12,0.52,-0.03,0.2,1
950,0,0,0,0.07,0.52,-0.03,0.2,NaN
950,1,0.52,-0.03,0.17,0.52,-0.03,0.2,1
950,1,0.52,-0.03,0.21,0.52,-0.03,0.2,1
950,0,0,0,0.11,0.52,-0.03,0.2,NaN
953,1,20,-2.88,7.91,20,-2.88,4.26,1
962,1,17.5,4.92990898516958,8.01,17.5,-2.14,8.16,0.604155512888429
962,1,17.5,4.92990898516958,3.65,17.5,-2.14,8.16,0.604155512888429
965,1,1.53,0.59,0.45,1.53,-0.08,0.59,1
965,0,0,0,0.24,1.53,-0.08,0.59,NaN
965,1,1.53,0.59,0.66,1.53,-0.08,0.59,1
965,1,1.53,0.59,0.17,1.53,-0.08,0.59,1
965,0,0,0,0.65,1.53,-0.08,0.59,NaN
965,0,0,0,0.17,1.53,-0.08,0.59,NaN
968,1,6.7,-0.33,2.12,6.7,-0.33,2.57,1
973,0,0,0,1.27,4.83,-0.24,1.86,NaN
973,0,0,0,1.44,4.83,-0.24,1.86,NaN
974,1,4.83,1.86,0.53,4.83,-0.24,1.86,1
974,1,4.83,1.86,2,4.83,-0.24,1.86,1
975,1,4.83,1.86,0.95,4.83,-0.24,1.86,1
975,1,4.83,1.86,1.35,4.83,-0.24,1.86,1
978,1,1,-0.05,0.49,1,-0.05,0.38,1
981,1,3.6,-0.18,1.11,3.6,-0.18,1.38,1
985,1,7.7,-0.38,1.41,7.7,-0.38,2.96,1
985,1,7.7,-0.38,2.2,7.7,-0.38,2.96,1
995,1,8.4,-0.41,3.98,8.4,-0.41,3.23,1
996,1,8.4,-0.41,0.99,8.4,-0.41,3.23,1
1008,1,24,-1.18,11.92,24,-1.18,9.22,1
1008,1,24,-1.18,9.23,24,-1.18,9.22,1
1009,1,24,9.22,2.88,24,-1.18,9.22,1
1013,1,0.6,-0.03,0.09,0.6,-0.03,0.23,1
1013,0,0,0,0.12,0.6,-0.03,0.23,NaN
1014,1,0.6,-0.03,0.08,0.6,-0.03,0.23,1
1017,1,2,-0.24,0.31,2,-0.24,0.93,1
1018,1,2,-0.24,0.54,2,-0.24,0.93,1
1018,1,2,-0.24,0.56,2,-0.24,0.93,1
1023,1,183.37,-20.36,45.75,183.4,-20.36,93.35,1
1024,1,183.37,-20.36,73.33,183.4,-20.36,93.35,1
1025,0,0,0,78.84,183.4,-20.36,93.35,NaN
1030,1,5.25,-0.26,2.18,5.25,-0.26,2.02,1
1030,0,0,0,1.53,5.25,-0.26,2.02,NaN
1034,1,3.6,1.38,0.63,3.6,-0.18,1.38,1
1037,1,23,8.83,10.25,23,-1.13,8.83,1
1038,1,23,-1.13,7.96,23,-1.13,8.83,1
1038,1,23,-1.13,5.68,23,-1.13,8.83,1
1038,1,23,-1.13,8.25,23,-1.13,8.83,1
1038,1,23,-1.13,3.56,23,-1.13,8.83,1
1038,0,0,0,3.61,23,-1.13,8.83,NaN
1044,0,0,0,22.97,54.5,-6.05,27.74,NaN
1044,1,54.49,5.99635212790208,20.46,54.5,-6.05,27.74,0.216162657819109
1044,1,54.49,5.99635212790208,19.31,54.5,-6.05,27.74,0.216162657819109
1050,1,25.5,-3.67,4.05,25.5,-3.67,5.43,1
1054,1,1.5,-0.07,0.57,1.5,-0.07,0.58,1
1057,1,12.5,-1.53,4.67,12.5,-1.53,5.82,1
1059,0,0,0,0.54,1.3,-0.06,0.5,NaN
1059,0,0,0,0.58,1.3,-0.06,0.5,NaN
1060,0,0,0,0.6,1.3,-0.06,0.5,NaN
1060,1,1.3,0.5,0.26,1.3,-0.06,0.5,1
1060,0,0,0,0.37,1.3,-0.06,0.5,NaN
1060,1,1.3,0.5,0.42,1.3,-0.06,0.5,1
1064,0,0,0,1.19,4.5,-0.65,0.96,NaN
1067,1,0.28,-0.01,0.14,0.28,-0.01,0.11,1
1068,1,0.28,-0.01,0.13,0.28,-0.01,0.11,1
1070,1,0.28,-0.01,0.09,0.28,-0.01,0.11,1
1070,0,0,0,0.08,0.28,-0.01,0.11,NaN
1071,1,0.28,-0.00779792489897673,0.05,0.28,-0.01,0.11,0.779792489897673
1074,1,2,-0.24,0.92,2,-0.24,0.93,1
1076,1,5.1,1.96,0.89,5.1,-0.25,1.96,1
1077,1,5.1,-0.25,0.63,5.1,-0.25,1.96,1
1080,1,3.08,1.18,0.57,3.08,-0.15,1.18,1
1081,1,3.08,-0.15,0.7,3.08,-0.15,1.18,1
1082,1,3.08,1.18,0.59,3.08,-0.15,1.18,1
1082,1,3.08,1.18,1.39,3.08,-0.15,1.18,1
1082,0,0,0,0.91,3.08,-0.15,1.18,NaN
1082,1,3.08,1.18,1.02,3.08,-0.15,1.18,1
1085,0,0,0,0.75,2,-0.24,0.93,NaN
1085,0,0,0,0.51,2,-0.24,0.93,NaN
1085,0,0,0,0.28,2,-0.24,0.93,NaN
1085,0,0,0,0.67,2,-0.24,0.93,NaN
1088,1,0.67,-0.03,0.29,0.68,-0.03,0.26,1
1089,1,0.67,-0.03,0.08,0.68,-0.03,0.26,1
1091,1,0.67,-0.03,0.19,0.68,-0.03,0.26,1
1092,1,0.67,-0.03,0.21,0.68,-0.03,0.26,1
1096,1,6.53,2.51,1.58,6.53,-0.32,2.51,1
1097,0,0,0,0.92,6.53,-0.32,2.51,NaN
1097,1,6.53,-0.32,1.95,6.53,-0.32,2.51,1
1100,0,0,0,0.12,0.37,-0.02,0.14,NaN
1100,1,0.37,0.14,0.18,0.37,-0.02,0.14,1
1100,0,0,0,0.07,0.37,-0.02,0.14,NaN
1102,1,1.3,-0.06,0.51,1.3,-0.06,0.5,1
1102,1,1.3,-0.06,0.17,1.3,-0.06,0.5,1
1102,1,1.3,-0.06,0.13,1.3,-0.06,0.5,1
1104,1,2,-0.24,0.84,2,-0.24,0.93,1
1106,1,1.8,-0.09,0.19,1.8,-0.09,0.69,1
1109,1,1.1,-0.05,0.53,1.1,-0.05,0.42,1
1110,1,1.1,-0.05,0.45,1.1,-0.05,0.42,1
1110,0,0,0,0.4,1.1,-0.05,0.42,NaN
1111,1,1.1,-0.05,0.48,1.1,-0.05,0.42,1
1111,1,1.1,-0.05,0.26,1.1,-0.05,0.42,1
1112,1,1.1,-0.05,0.35,1.1,-0.05,0.42,1
1118,0,0,0,17.51,102.6,-12.52,47.81,NaN
1121,1,1.1,-0.05,0.49,1.1,-0.05,0.42,1
1121,1,1.1,-0.05,0.24,1.1,-0.05,0.42,1
1123,1,1.3,-0.06,0.2,1.3,-0.06,0.5,1
1123,0,0,0,0.18,1.3,-0.06,0.5,NaN
1123,1,1.3,-0.06,0.27,1.3,-0.06,0.5,1
1126,0,0,0,0.37,0.8,-0.04,0.31,NaN
1127,1,0.8,-0.04,0.34,0.8,-0.04,0.31,1
1127,1,0.8,-0.04,0.2,0.8,-0.04,0.31,1
1131,1,0.45,-0.02,0.08,0.45,-0.02,0.17,1
1132,1,0.45,-0.02,0.06,0.45,-0.02,0.17,1
1132,1,0.45,-0.02,0.17,0.45,-0.02,0.17,1
1133,0,0,0,0.05,0.45,-0.02,0.17,NaN
1136,0,0,0,0.16,0.7,-0.03,0.27,NaN
1136,1,0.7,-0.03,0.18,0.7,-0.03,0.27,1
1138,1,0.64,-0.03,0.29,0.64,-0.03,0.25,1
1138,1,0.64,-0.03,0.16,0.64,-0.03,0.25,1
1138,0,0,0,0.17,0.64,-0.03,0.25,NaN
1138,1,0.64,-0.03,0.1,0.64,-0.03,0.25,1
1138,1,0.64,-0.03,0.18,0.64,-0.03,0.25,1
1143,0,0,0,11.28,34.5,-4.97,7.35,NaN
1146,1,1.28,-0.06,0.41,1.28,-0.06,0.49,1
1146,1,1.28,-0.06,0.64,1.28,-0.06,0.49,1
1146,1,1.28,-0.06,0.42,1.28,-0.06,0.49,1
1146,1,1.28,-0.06,0.41,1.28,-0.06,0.49,1
1146,1,1.28,-0.06,0.33,1.28,-0.06,0.49,1
1146,1,1.28,-0.06,0.32,1.28,-0.06,0.49,1
1148,1,6.6,-0.32,0.84,6.6,-0.32,2.53,1
1150,1,1.2,0.46,0.27,1.2,-0.06,0.46,1
1151,1,1.2,0.46,0.22,1.2,-0.06,0.46,1
1151,1,1.2,0.46,0.52,1.2,-0.06,0.46,1
1151,1,1.2,0.46,0.36,1.2,-0.06,0.46,1
1151,0,0,0,0.27,1.2,-0.06,0.46,NaN
1151,1,1.2,0.46,0.39,1.2,-0.06,0.46,1
1157,1,187.94,95.68,36.73,187.97,-20.86,95.68,1
1158,1,187.94,95.68,86.98,187.97,-20.86,95.68,1
1159,1,187.94,95.68,44.4,187.97,-20.86,95.68,1
1164,1,59.99,-8.64,6.34,60,-8.64,12.78,1
1168,1,37.19,-4.13,11.09,37.2,-4.13,18.93,1
1168,1,37.19,-4.13,4.55,37.2,-4.13,18.93,1
1169,1,37.19,-4.13,4.72,37.2,-4.13,18.93,1
1172,1,1.08,0.42,0.15,1.08,-0.05,0.42,1
1172,0,0,0,0.26,1.08,-0.05,0.42,NaN
1172,1,1.08,0.42,0.51,1.08,-0.05,0.42,1
1172,1,1.08,0.42,0.23,1.08,-0.05,0.42,1
1172,0,0,0,0.51,1.08,-0.05,0.42,NaN
1172,1,1.08,0.42,0.27,1.08,-0.05,0.42,1
1177,1,4.43,2.07,0.82,4.43,-0.54,2.07,1
1177,1,4.43,2.07,1.33,4.43,-0.54,2.07,1
1178,1,4.43,2.07,2.14,4.43,-0.54,2.07,1
1178,1,4.43,2.07,1.85,4.43,-0.54,2.07,1
1179,1,4.43,2.07,0.7,4.43,-0.54,2.07,1
1179,1,4.43,2.07,2.01,4.43,-0.54,2.07,1
1187,1,56.99,12.14,8.99,57,-8.21,12.14,1
1190,1,1.6,-0.08,0.75,1.6,-0.08,0.61,1
1193,1,0.4,0.15,0.14,0.4,-0.02,0.15,1
1193,0,0,0,0.05,0.4,-0.02,0.15,NaN
1194,0,0,0,0.08,0.4,-0.02,0.15,NaN
1197,1,0.4,-0.02,0.18,0.4,-0.02,0.15,1
1197,1,0.4,-0.02,0.2,0.4,-0.02,0.15,1
1197,1,1.5,-0.07,0.33,1.5,-0.07,0.58,1
1199,0,0,0,2.6,6.5,-0.32,2.5,NaN
1200,1,6.5,-0.32,3.15,6.5,-0.32,2.5,1
1206,1,2.8,1.08,0.52,2.8,-0.14,1.08,1
1211,1,1,0.38,0.13,1,-0.05,0.38,1
1212,1,9.7,1.30243759851493,1.82,9.7,-0.48,3.72,0.350117634009389
1214,1,9.7,-0.48,2,9.7,-0.48,3.72,1
1743,1,413.94,184.681140911072,88.18,414,-50.51,192.92,0.957293908931538
1751,1,229.57,-28.01,97.66,229.6,-28.01,106.99,1
1752,0,0,0,91.52,229.6,-28.01,106.99,NaN
1755,0,0,0,20.61,50,-6.1,23.3,NaN
1755,0,0,0,7.97,50,-6.1,23.3,NaN
1758,1,2.7,-0.13,0.74,2.7,-0.13,1.04,1
1761,1,1.5,0.58,0.69,1.5,-0.07,0.58,1
1762,0,0,0,0.64,1.5,-0.07,0.58,NaN
1766,1,1.6,0.61,0.51,1.6,-0.08,0.61,1
1767,1,1.7,0.65,0.76,1.7,-0.08,0.65,1
1770,1,2.33,-0.28,1.13,2.33,-0.28,1.09,1
1770,1,2.33,-0.28,0.6,2.33,-0.28,1.09,1
1770,1,2.33,-0.28,0.93,2.33,-0.28,1.09,1
1772,1,0.63,-0.08,0.28,0.63,-0.08,0.3,1
1772,1,0.63,-0.08,0.17,0.63,-0.08,0.3,1
1772,1,0.63,-0.08,0.13,0.63,-0.08,0.3,1
1772,1,0.63,-0.08,0.22,0.63,-0.08,0.3,1
1773,0,0,0,0.12,0.63,-0.08,0.3,NaN
1774,0,0,0,0.16,0.63,-0.08,0.3,NaN
1778,0,0,0,1.54,5,-0.55,2.55,NaN
1780,0,0,0,46.33,99,-14.26,21.09,NaN
1787,1,15,-0.111907084026146,1.98,15,-0.74,5.76,0.151225789224521
1793,1,263.3,19.1618749227912,114.33,263.33,-29.23,134.04,0.142956393037834
1794,1,263.3,18.6626088145448,104.86,263.33,-29.23,134.04,0.139231638425431
1795,1,263.3,18.3021140105586,109.65,263.33,-29.23,134.04,0.136542181517149
1801,1,1241.83,220.843476149593,462.96,1242,-101.84,457.06,0.483182680938155
1806,1,18,-1.37750334570124,4.11,18,-2.2,8.39,0.626137884409653
1810,1,4.6,1.77,0.68,4.6,-0.23,1.77,1
1814,1,3.4,-0.17,1.34,3.4,-0.17,1.31,1
1816,0,0,0,0.07,0.3,-0.01,0.12,NaN
1816,1,0.3,-0.01,0.09,0.3,-0.01,0.12,1
1816,1,0.85,-0.04,0.21,0.85,-0.04,0.33,1
1816,1,0.85,-0.04,0.13,0.85,-0.04,0.33,1
1816,1,1.05,-0.05,0.2,1.05,-0.05,0.4,1
1816,1,1.05,-0.05,0.48,1.05,-0.05,0.4,1
1816,1,2.4,-0.12,0.3,2.4,-0.12,0.92,1
1817,1,0.3,0.12,0.04,0.3,-0.01,0.12,1
1818,1,0.3,0.12,0.11,0.3,-0.01,0.12,1
1823,1,24,5.11,9.95,24,-3.46,5.11,1
1829,1,47.99,-6.91,21.1,48,-6.91,10.22,1
1833,1,35.1,-1.72,16.65,35.1,-1.72,13.48,1
1833,1,35.1,-1.72,11.12,35.1,-1.72,13.48,1
1833,1,35.1,-1.72,5.65,35.1,-1.72,13.48,1
1833,1,35.1,-1.72,8,35.1,-1.72,13.48,1
1839,1,2.8,1.08,0.94,2.8,-0.14,1.08,1
1840,1,0.5,-0.02,0.19,0.5,-0.02,0.19,1
1840,0,0,0,0.15,0.5,-0.02,0.19,NaN
1840,0,0,0,0.22,0.5,-0.02,0.19,NaN
1840,1,0.7,-0.03,0.19,0.7,-0.03,0.27,1
1840,1,0.7,-0.03,0.11,0.7,-0.03,0.27,1
1840,1,2.8,-0.14,0.67,2.8,-0.14,1.08,1
1840,1,2.8,-0.14,0.5,2.8,-0.14,1.08,1
1844,1,3.2,-0.16,0.76,3.2,-0.16,1.23,1
1844,1,3.2,-0.16,0.46,3.2,-0.16,1.23,1
1847,1,3.2,-0.16,1.08,3.2,-0.16,1.23,1
1847,1,0.6,-0.03,0.15,0.6,-0.03,0.23,1
1848,0,0,0,0.17,0.6,-0.03,0.23,NaN
1853,0,0,0,0.34,0.7,-0.09,0.33,NaN
1854,1,0.7,-0.09,0.26,0.7,-0.09,0.33,1
1856,1,18.6,-1.74134471870989,3.67,18.6,-2.27,8.67,0.767112210885415
1857,1,18.6,8.67,5.62,18.6,-2.27,8.67,1
1857,1,0.7,0.33,0.31,0.7,-0.09,0.33,1
1863,1,5.05,-0.25,0.74,5.05,-0.25,1.94,1
1863,1,5.05,-0.25,1.84,5.05,-0.25,1.94,1
1864,1,5.05,-0.25,0.54,5.05,-0.25,1.94,1
1864,1,5.05,-0.25,0.78,5.05,-0.25,1.94,1
1865,0,0,0,2.05,5.05,-0.25,1.94,NaN
1865,1,5.05,1.94,0.55,5.05,-0.25,1.94,1
1866,1,0.55,0.21,0.26,0.55,-0.03,0.21,1
1866,1,0.55,0.21,0.26,0.55,-0.03,0.21,1
1867,0,0,0,0.14,0.55,-0.03,0.21,NaN
1867,1,0.55,0.21,0.09,0.55,-0.03,0.21,1
1874,1,18.6,-2.27,4.58,18.6,-2.27,8.67,1
1877,1,5,-0.25,2.5,5,-0.25,1.92,1
1879,1,1.4,-0.17,0.65,1.4,-0.17,0.65,1
1879,1,1.4,-0.17,0.56,1.4,-0.17,0.65,1
1882,1,1,-0.0189784027830062,0.43,1,-0.05,0.38,0.379568055660124
1883,0,0,0,1.56,4.3,-0.21,1.65,NaN
1887,1,1.75,0.67,0.81,1.75,-0.09,0.67,1
1887,0,0,0,0.57,1.75,-0.09,0.67,NaN
1891,1,1.3,0.5,0.43,1.3,-0.06,0.5,1
1891,0,0,0,0.42,1.05,-0.05,0.4,NaN
1892,1,1.05,0.4,0.45,1.05,-0.05,0.4,1
1893,1,0.7,0.27,0.08,0.7,-0.03,0.27,1
1893,1,0.7,0.27,0.26,0.7,-0.03,0.27,1
1894,1,0.35,0.13,0.17,0.35,-0.02,0.13,1
1894,1,0.35,0.13,0.11,0.35,-0.02,0.13,1
1895,1,0.35,0.13,0.1,0.35,-0.02,0.13,1
1895,1,0.35,0.13,0.14,0.35,-0.02,0.13,1
1898,1,3.1,-0.15,0.78,3.1,-0.15,1.19,1
1898,1,3.1,-0.15,1.19,3.1,-0.15,1.19,1
1898,1,3.1,-0.15,0.63,3.1,-0.15,1.19,1
1898,1,3.1,-0.15,1.21,3.1,-0.15,1.19,1
1900,1,35.1,13.48,13.26,35.1,-1.72,13.48,1
1901,1,35.1,-1.72,10.22,35.1,-1.72,13.48,1
1901,1,35.1,-1.72,17,35.1,-1.72,13.48,1
1901,0,0,0,14.1,35.1,-1.72,13.48,NaN
1905,0,0,0,1.01,3.5,-0.17,1.34,NaN
1905,1,3.5,-0.17,1.49,3.5,-0.17,1.34,1
1905,1,3.5,-0.17,1.67,3.5,-0.17,1.34,1
1907,1,21.2,-2.59,8.54,21.2,-2.59,9.88,1
1910,1,5.33,-0.26,2.07,5.33,-0.26,2.05,1
1910,1,5.33,-0.26,2.56,5.33,-0.26,2.05,1
1911,1,5.33,-0.26,1.52,5.33,-0.26,2.05,1
1917,1,201.81,102.73,66.43,201.83,-22.4,102.73,1
1918,1,201.81,35.3897562776578,43.43,201.83,-22.4,102.73,0.344492906431012
1919,1,201.81,34.0933064685818,33.77,201.83,-22.4,102.73,0.331872933598577
1926,1,2.6,-0.13,0.77,2.6,-0.13,1,1
1926,1,2.6,-0.13,0.33,2.6,-0.13,1,1
1927,0,0,0,1.04,2.6,-0.13,1,NaN
1927,1,2.6,-0.13,1.13,2.6,-0.13,1,1
2434,1,1,-0.05,0.48,1,-0.05,0.38,1
2435,1,1,-0.05,0.48,1,-0.05,0.38,1
2437,1,1.38,-0.07,0.38,1.38,-0.07,0.53,1
2438,0,0,0,0.56,1.38,-0.07,0.53,NaN
2438,1,1.38,-0.07,0.15,1.38,-0.07,0.53,1
2439,1,1.38,-0.07,0.28,1.38,-0.07,0.53,1
2439,1,1.38,-0.07,0.64,1.38,-0.07,0.53,1
2443,1,18,8.39,5.15,18,-2.2,8.39,1
2449,1,4.6,-0.56,1.74,4.6,-0.56,2.14,1
2449,1,4.6,-0.56,0.88,4.6,-0.56,2.14,1
2451,1,1.6,-0.08,0.55,1.6,-0.08,0.61,1
2451,1,1.6,-0.08,0.58,1.6,-0.08,0.61,1
2451,1,1.6,-0.08,0.58,1.6,-0.08,0.61,1
2451,1,1.6,-0.08,0.44,1.6,-0.08,0.61,1
2451,0,0,0,0.36,1.6,-0.08,0.61,NaN
2454,0,0,0,0.22,1.4,-0.17,0.65,NaN
2454,0,0,0,0.17,1.4,-0.17,0.65,NaN
2460,1,4.2,-0.21,0.48,4.2,-0.21,1.61,1
2461,1,4.2,-0.21,1.11,4.2,-0.21,1.61,1
2463,0,0,0,1.38,4.2,-0.21,1.61,NaN
2463,1,4.2,-0.21,0.91,4.2,-0.21,1.61,1
2464,1,4.2,1.61,1.08,4.2,-0.21,1.61,1
2464,1,4.2,1.61,0.54,4.2,-0.21,1.61,1
2467,0,0,0,0.93,3,-0.15,1.15,NaN
2470,1,1.5,-0.07,0.43,1.5,-0.07,0.58,1
2470,1,1.5,-0.07,0.28,1.5,-0.07,0.58,1
2475,0,0,0,0.33,1.2,-0.06,0.46,NaN
2475,1,1.2,0.46,0.31,1.2,-0.06,0.46,1
2476,0,0,0,0.39,1.2,-0.06,0.46,NaN
2477,1,1.2,-0.06,0.51,1.2,-0.06,0.46,1
2481,1,1.75,-0.09,0.34,1.75,-0.09,0.67,1
2481,1,1.75,-0.09,0.49,1.75,-0.09,0.67,1
2483,1,2,0,0.55,2,0,0,NaN
2483,1,2,0,0.26,2,0,0,NaN
2485,0,0,0,0.21,2,-0.24,0.93,NaN
2485,1,2,-0.24,0.33,2,-0.24,0.93,1
2485,1,2,-0.24,0.44,2,-0.24,0.93,1
2485,1,2,-0.24,0.99,2,-0.24,0.93,1
2487,1,1.9,0.73,0.91,1.9,-0.09,0.73,1
2489,1,1.9,-0.09,0.27,1.9,-0.09,0.73,1
2490,1,1.9,-0.09,0.75,1.9,-0.09,0.73,1
2495,0,0,0,1.33,2.78,-0.14,1.07,NaN
2495,1,2.77,-0.14,0.99,2.78,-0.14,1.07,1
2496,1,2.77,-0.14,0.55,2.78,-0.14,1.07,1
2497,1,2.77,-0.14,1.23,2.78,-0.14,1.07,1
2503,1,13.2,-1.61,2.6,13.2,-1.61,6.15,1
2506,1,6,-0.86,2.68,6,-0.86,1.28,1
2509,1,2,0,0.22,2,0,0,NaN
2509,1,1.8,0,0.67,1.8,0,0,NaN
2513,0,0,0,0.36,0.9,-0.04,0.35,NaN
2513,1,0.9,-0.04,0.2,0.9,-0.04,0.35,1
2514,1,0.57,-0.03,0.23,0.57,-0.03,0.22,1
2514,0,0,0,0.08,0.57,-0.03,0.22,NaN
2515,1,0.57,-0.03,0.24,0.57,-0.03,0.22,1
2518,1,0.9,-0.04,0.25,0.9,-0.04,0.35,1
2518,1,0.9,-0.04,0.3,0.9,-0.04,0.35,1
2518,1,0.9,-0.04,0.34,0.9,-0.04,0.35,1
2518,1,0.9,-0.04,0.36,0.9,-0.04,0.35,1
2519,1,0.8,-0.04,0.15,0.8,-0.04,0.31,1
2520,1,0.8,-0.04,0.36,0.8,-0.04,0.31,1
2524,1,2.2,0,0.33,2.2,0,0,NaN
2525,1,2.2,0,0.47,2.2,0,0,NaN
2526,0,0,0,0.72,2.2,0,0,NaN
2531,0,0,0,0.8,2.5,-0.12,0.96,NaN
2531,1,2.5,-0.12,0.62,2.5,-0.12,0.96,1
2532,1,2.5,-0.12,0.84,2.5,-0.12,0.96,1
2536,1,13.2,-1.61,3.78,13.2,-1.61,6.15,1
2542,1,13.6,0.162912923125885,4.03,13.6,-0.67,5.22,0.0312093722463382
2543,0,0,0,3.38,13.6,-0.67,5.22,NaN
2545,0,0,0,4.32,13.6,-0.67,5.22,NaN
2548,0,0,0,0.13,0.8,-0.04,0.31,NaN
2548,1,0.8,-0.04,0.39,0.8,-0.04,0.31,1
2548,0,0,0,0.34,0.8,-0.04,0.31,NaN
2548,1,1.9,-0.09,0.49,1.9,-0.09,0.73,1
2548,1,1.9,-0.09,0.68,1.9,-0.09,0.73,1
2548,1,1.9,-0.09,0.76,1.9,-0.09,0.73,1
2550,0,0,0,2.4,5.5,-0.27,2.11,NaN
2552,1,25.5,11.88,6.24,25.5,-3.11,11.88,1
2559,1,64.99,13.84,24.85,65,-9.36,13.84,1
2562,1,4.1,1.57,1.1,4.1,-0.2,1.57,1
2565,1,1.2,-0.06,0.31,1.2,-0.06,0.46,1
2565,1,1.2,-0.06,0.29,1.2,-0.06,0.46,1
2566,0,0,0,0.39,1.2,-0.06,0.46,NaN
2570,1,11.87,4.56,4.52,11.87,-0.58,4.56,1
2570,1,11.87,4.56,3.47,11.87,-0.58,4.56,1
2570,1,11.87,4.56,5.2,11.87,-0.58,4.56,1
2575,1,3.7,-0.18,1.84,3.7,-0.18,1.42,1
2575,1,3.7,-0.18,1.61,3.7,-0.18,1.42,1
2577,1,0.37,-0.02,0.1,0.37,-0.02,0.14,1
2577,1,0.37,-0.02,0.04,0.37,-0.02,0.14,1
2577,1,0.37,-0.02,0.11,0.37,-0.02,0.14,1
