bus,type,base_kv,pd_mw,qd_mvar,vm_original_pu,va_original_deg,vm_solved_pu,va_solved_deg,delta_vm_pu,delta_va_deg
108,1,115,1.33,0.15,1.0599312,-124.169288,1.10128464483685,-124.959280228191,0.0413534448368542,-0.373761495945828
109,1,115,1.75,0.29,1.0482952,-122.428797,1.07633440984134,-123.223715153517,0.0280392098413424,-0.378687421271934
110,1,115,0,0,1.0483019,-122.427811,1.07634092608191,-123.222781108434,0.028039026081907,-0.378739376188562
111,1,115,2.26,0.72,1.0715233,-123.971981,1.10815761523826,-124.750527831573,0.03663431523826,-0.362316099327927
112,1,115,0.69,0.36,1.0300667,-124.891768,1.07766984712298,-125.653840156027,0.0476031471229759,-0.345841423781593
113,1,115,6.33,1.36,1.0512298,-124.418647,1.09825033127352,-125.22995877127,0.0470205312735177,-0.395081039025158
114,1,115,6.64,2.69,1.0509112,-124.456492,1.09807607298473,-125.265441002311,0.047164872984734,-0.392718270066268
115,1,115,0,0,1.0512223,-124.444978,1.098699397659,-125.256906934172,0.0474770976590033,-0.395698201927445
116,1,115,5.59,1.58,1.0511943,-124.447989,1.09867263818866,-125.259664330812,0.047478338188657,-0.395444598566868
117,1,115,1.13,0.11,1.0372902,-124.771367,1.08498169291755,-125.553193454499,0.0476914929175491,-0.365595722253474
118,1,115,1.4,0.68,1.0437633,-124.783086,1.0916527276635,-125.569449324623,0.0478894276635022,-0.370132592377544
119,1,115,0,0,1.0180293,-124.791666,1.06509326868361,-125.550048559857,0.0470639686836138,-0.342151827611872
120,1,115,1.27,0.33,1.0180229,-124.792417,1.06508712657441,-125.550735098795,0.0470642265744148,-0.342087366549791
121,1,115,0,0,1.0662505,-123.296114,1.09483669825532,-124.053800982798,0.0285861982553228,-0.341456250553279
122,1,115,1.94,0.75,1.0662374,-123.297153,1.09482394791506,-124.054788017061,0.028586547915062,-0.341404284815681
123,1,115,1.4,0.39,1.0653294,-124.187559,1.10541824972106,-124.972269705973,0.0400888497210559,-0.368479973727773
124,1,115,0,0,1.0653368,-124.186853,1.10542543313792,-124.971613698029,0.0400886331379171,-0.368529965784404
125,1,115,1.44,0.04,1.0432978,-124.831664,1.09133081292055,-125.610988632903,0.0480330129205528,-0.363093900658029
126,1,115,0,0,1.0440969,-124.819846,1.09216153515251,-125.600613790172,0.0480646351525074,-0.364537057927208
127,1,115,1.72,0.34,1.0440891,-124.820728,1.09215401980328,-125.60142265971,0.0480649198032836,-0.364463927464854
128,1,115,2.18,0.09,1.0459688,-124.761952,1.09408326880245,-125.548636070596,0.0481144688024524,-0.370453338350814
129,1,115,2.94,0.73,1.0551746,-124.565481,1.10272819572087,-125.370971891016,0.0475535957208726,-0.389260158771251
130,1,115,3,0.76,1.0421633,-130.371866,1.04275498967282,-130.87367160865,0.000591689672821083,-0.0855748764046353
131,1,230,0,0,1.039872,-129.143251,1.04048388232287,-129.646358010076,0.000611882322871571,-0.0868762778306831
132,1,115,5.16,0.81,1.0423608,-130.133084,1.04295999280708,-130.635249617175,0.000599192807084759,-0.0859348849302393
133,1,230,0,0,1.0398842,-129.123362,1.04049630545447,-129.626492405301,0.000612105454466549,-0.0868996730562372
134,1,115,2.97,0.36,1.0422307,-130.471218,1.0428183781318,-130.972890178767,0.000587678131802827,-0.0854414465220685
135,1,115,8.77,3.83,1.0414524,-129.564835,1.04279879616574,-130.067263602557,0.00134639616574228,-0.0861978703117217
136,1,115,8.77,5.11,1.0405831,-129.518224,1.04184238825448,-130.020481159925,0.00125928825448041,-0.086026427680352
137,1,115,8.77,3.37,1.0423558,-129.56254,1.04366551349684,-130.065061024493,0.00130971349684161,-0.0862902922481368
138,1,115,9.08,2.9,1.0411887,-129.557857,1.04299796029929,-130.060183316961,0.00180926029928763,-0.0860955847162614
139,1,115,5.18,1.38,1.0382208,-130.91926,1.03822360117767,-131.413596271019,2.80117766804366e-06,-0.0781055387738689
140,1,115,5.18,1.22,1.0408941,-130.722123,1.04149798476271,-131.219787916201,0.000603884762707452,-0.0814341839555226
141,1,115,2.2,0.11,1.0412189,-130.103412,1.04181737653851,-130.60331514528,0.000598476538507864,-0.0836724130344777
142,1,115,2.2,0.32,1.040589,-130.287914,1.04116999827089,-130.787584990316,0.000580998270890198,-0.0834402580708087
143,1,115,0,0,1.0399774,-130.481284,1.04056296498401,-130.98116833657,0.000585564984011855,-0.0836536043249083
144,1,115,3.36,0.88,1.0399622,-130.482973,1.04054778944815,-130.982857054627,0.00058558944815057,-0.0836533223822613
145,1,115,3.36,0.5,1.0402548,-130.440067,1.04084983195713,-130.940142505602,0.000595031957131509,-0.083844773357427
146,1,115,6.93,0.7,1.0403752,-130.617902,1.04091094265666,-131.116048973514,0.000535742656663007,-0.0819162412685586
147,1,115,6.43,3.81,1.039735,-130.523882,1.04030402724054,-131.023460096524,0.000569027240538089,-0.0833473642788789
148,1,115,9.79,4.09,1.0405315,-130.632989,1.04103449567462,-131.131155693378,0.000502995674621864,-0.0819359611333965
149,1,115,4.74,1.19,1.0404818,-130.234731,1.04124986486094,-130.733613954208,0.000768064860935169,-0.0826522219628174
150,1,115,4.6,1.37,1.0404342,-130.167929,1.04119809756169,-130.666900542254,0.000763897561692373,-0.0827408100090139
151,1,115,0,0,1.0411496,-130.387879,1.041942385327,-130.886721621467,0.000792785326997336,-0.0826118892223775
152,1,115,5.55,1.49,1.0411225,-130.390854,1.04191533489913,-130.889688651133,0.000792834899131734,-0.0826039188882959
153,1,115,7.08,2.03,1.0367974,-130.994875,1.03743149130556,-131.494701998707,0.000634091305559359,-0.0835962664617256
154,1,115,0,0,1.0368372,-130.991318,1.03747134122918,-131.491152212258,0.000634141229177931,-0.0836034800134229
155,1,115,7.08,2.36,1.0372,-130.604434,1.03774163611023,-131.103503803455,0.000541636110232391,-0.0828390712097899
156,1,115,0,0,1.0366766,-131.047109,1.03735847299589,-131.54749869956,0.000681872995889066,-0.0841589673149628
157,1,115,7.08,0.96,1.0366464,-131.051478,1.03732830017784,-131.55186041058,0.000681900177844641,-0.0841516783346634
158,1,115,7.08,1.19,1.0373417,-130.909089,1.03794322866108,-131.408600191122,0.000601528661082318,-0.0832804588765867
159,1,230,8.56,0.99,1.0430461,-129.451101,1.04353115914031,-129.951841621907,0.000485059140311828,-0.0845098896622147
160,1,115,4.28,0.73,1.0398662,-130.515819,1.04042407205145,-131.015235201999,0.00055787205144564,-0.0831854697535306
161,1,115,2.23,0.08,1.0422734,-129.570855,1.04380649612275,-130.073655253008,0.00153309612275376,-0.0865695207625805
162,1,115,2.23,0.39,1.0421033,-129.843524,1.04328083894824,-130.34448939798,0.00117753894824357,-0.0847346657351551
163,1,115,0,0,1.0408384,-130.353179,1.0416202890493,-130.851971722529,0.000781889049303208,-0.0825619902835086
164,1,115,2.73,0.54,1.0408253,-130.354823,1.04160709516451,-130.853610908341,0.00078179516451149,-0.0825571760963015
165,1,115,1.79,0.37,1.0420156,-130.388155,1.04261888163979,-130.89021186863,0.000603281639788511,-0.0858261363846253
166,1,115,2.53,1.52,1.0426295,-130.069011,1.04322982207681,-130.571331273609,0.000600322076810933,-0.086089541364359
167,1,115,2.7,0.34,1.0438956,-129.385008,1.04449109937618,-129.887966268293,0.000595499376184527,-0.0867275360480875
168,1,115,2.19,0.96,1.0424135,-130.568275,1.04299561924584,-131.069808598088,0.00058211924584417,-0.0853028658427633
169,1,115,2.19,0.55,1.0429007,-130.736249,1.04347123649934,-131.237454449937,0.000570536499338248,-0.0849747176923046
170,1,115,3.2,0.54,1.0380712,-129.945916,1.0387209124929,-130.447130062468,0.000649712492895693,-0.0849833302226983
171,1,115,4.71,1.79,1.0435532,-129.160883,1.04440311901028,-129.663226932302,0.000849919010276645,-0.0861132000564879
172,1,115,0,0,1.0435803,-129.158538,1.04443019209326,-129.660883601708,0.000849892093255145,-0.0861148694630032
173,1,115,5.26,1.95,1.0389289,-130.269524,1.03954684181136,-130.770027269492,0.000617941811363654,-0.0842725372473438
174,1,115,12.74,3.06,1.0379044,-130.940786,1.03790588631393,-131.435107529164,1.48631392971055e-06,-0.0780907969193976
175,1,115,0,0,1.040331,-130.637503,1.04092566307371,-131.13517549928,0.000594663073711033,-0.081441767034633
176,1,115,7.45,3.59,1.0402801,-130.641038,1.04087475103608,-131.138703927685,0.00059465103607681,-0.0814351954401644
177,1,115,7.49,0.87,1.0391294,-130.700634,1.03953982810481,-131.196972145902,0.000410428104805627,-0.0801074136565063
178,1,115,7.5,0.8,1.0383388,-130.950847,1.03834426748364,-131.4452219898,5.46748363761118e-06,-0.0781442575545412
179,1,115,7.5,1.71,1.0387084,-130.779359,1.03883570681986,-131.27460682721,0.000127306819862616,-0.0790170949645557
180,1,115,7.5,1.97,1.0401978,-130.653457,1.04067070811567,-131.151952295298,0.000472908115668691,-0.0822645630528172
181,1,230,0,0,1.0400746,-129.550539,1.04048399302049,-130.050502086094,0.000409393020492921,-0.083732353849129
182,1,115,13.24,2.34,1.0420008,-130.568872,1.04243026049233,-131.067065673511,0.000429460492326728,-0.0819629412660134
183,1,230,0,0,1.0404735,-129.524611,1.04088223808483,-130.024625681774,0.000408738084832105,-0.0837839495285237
184,1,115,13.96,6.21,1.0416203,-130.773429,1.04223259982255,-131.271107022915,0.000612299822554618,-0.0814472906698285
185,1,230,0,0,1.0370666,-129.449357,1.03739996255687,-129.948774950778,0.000333362556873551,-0.0831872185329843
186,1,115,0,0,1.0386032,-130.712286,1.03889533044812,-131.20848197494,0.000292130448121375,-0.0799652426950814
187,1,230,13.24,1.5,1.0370173,-129.457213,1.03735075113305,-129.956627718981,0.00033345113305483,-0.0831839867357047
188,1,115,20.69,7.45,1.0377404,-130.794704,1.03802603412266,-131.291124213065,0.000285634122659362,-0.0801894808198966
189,1,115,2.77,0.63,1.0395863,-130.249959,1.04017151364767,-130.749573417277,0.000585213647669391,-0.0833836850322172
190,1,230,0,0,1.0428687,-129.551291,1.04338612874727,-130.052033553344,0.000517428747272231,-0.084511821098701
191,1,115,0,0,1.0416674,-129.937464,1.04228060744722,-130.437545803445,0.000613207447224706,-0.0838510712002147
192,1,20,4.96,1.11,1.039117,-130.636755,1.03982706224063,-131.135387086952,0.000710062240627307,-0.0824013547072724
193,1,1,0,0,1.0412597,-130.171048,1.04197478343613,-130.67075189573,0.000715083436128694,-0.0834731634845554
194,1,230,0,0,1.0429275,-129.54141,1.04344165381126,-130.042138088425,0.000514153811263407,-0.0844973561803641
195,1,115,8.35,1.3,1.0378824,-131.046402,1.03789442602554,-131.540873041712,1.20260255405125e-05,-0.0782403094672333
196,1,230,0,0,1.0414151,-130.226689,1.04168082560292,-130.725456396996,0.000265725602921041,-0.0825366647512311
197,1,115,0,0,1.0392101,-131.267884,1.03945550662611,-131.76622801742,0.000245406626105726,-0.08211328517514
198,1,13.8,0,0,1.0365155,-132.860473,1.03672971149834,-133.358265071662,0.000214211498344108,-0.0815613394169787
199,1,1,0,0,1.0365155,-132.860473,1.03672971149834,-133.358265071662,0.000214211498344108,-0.0815613394169787
200,1,230,16.11,3.09,1.0413536,-130.234899,1.04161932498732,-130.733662890236,0.000265724987322802,-0.0825331579912785
201,1,115,8.11,2.12,1.0388222,-131.327823,1.03906890598581,-131.826128876728,0.000246705985811779,-0.0820751444833974
202,1,115,8.11,1.72,1.0365279,-130.806045,1.03676248605662,-131.302829576214,0.000234586056620634,-0.0805538439687297
203,1,115,1.66,0.5,1.0434229,-130.81425,1.04398566428841,-131.315274426623,0.000562764288406514,-0.0847936943775807
204,1,115,1.52,0.33,1.0442538,-130.908166,1.04480382699256,-131.408847037366,0.000550026992557351,-0.0844503051207965
205,1,115,0,0,1.0379741,-131.352552,1.03859472960652,-131.852451236946,0.000620629606518541,-0.083668504700583
206,1,115,3.25,1.23,1.0379507,-131.354426,1.03857133316284,-131.854323188359,0.000620633162842221,-0.0836664561136473
207,1,115,18.88,3.93,1.0381581,-130.815608,1.03824656820688,-131.310830383324,8.84682068802434e-05,-0.0789916510793631
208,1,115,0,0,1.0384863,-130.894217,1.03848981256365,-131.388555773144,3.5125636497213e-06,-0.0781080408991528
209,1,115,10.89,2.06,1.0384344,-130.900562,1.03843785932509,-131.394899458883,3.45932508705182e-06,-0.0781067266375288
210,1,115,10.89,1.69,1.0377548,-130.793591,1.03802813897904,-131.290421811921,0.00027333897903925,-0.0806000796755058
211,1,115,0,0,1.0353614,-130.865546,1.03562242058458,-131.362483035729,0.000261020584579219,-0.0807063034841491
212,1,115,10.89,5.81,1.0352695,-130.871204,1.03553060724702,-131.368136834804,0.000261107247021775,-0.0807021025587318
213,1,115,4.66,1.97,1.0386244,-130.900546,1.03918996484082,-131.400040475836,0.00056556484082404,-0.0832637435909049
214,1,115,7.13,1.52,1.0411119,-131.307679,1.04168776822884,-131.807497553316,0.00057586822883815,-0.0835878210713048
215,1,115,6.77,0.95,1.0401691,-131.157458,1.0408014388944,-131.657761632165,0.000632338894396733,-0.0840728999195477
216,1,115,7.58,1.21,1.0394103,-130.730856,1.03976455520476,-131.228454871581,0.000354255204761733,-0.0813681393363339
217,1,115,7.58,2.43,1.0378159,-130.802455,1.03811813851499,-131.299625294007,0.000302238514988673,-0.0809395617624347
218,1,115,7.58,1.66,1.0381938,-130.747621,1.03875357541696,-131.246937075435,0.000559775416958175,-0.0830853431896941
219,1,115,7.58,3.16,1.0359562,-130.868312,1.03623224218076,-131.36535672721,0.000276042180757496,-0.0808139949653111
220,1,115,0,0,1.0360091,-130.864284,1.03628510702178,-131.36132939908,0.000276007021777547,-0.0808146668348257
221,1,115,7.36,1.2,1.0392514,-130.656579,1.03975961054016,-131.155358917306,0.000508210540160814,-0.0825491850605005
222,1,115,7.36,1.39,1.038963,-130.621391,1.03949071206464,-131.12039252128,0.000527712064642305,-0.0827707890350524
223,1,230,0,0,1.0407845,-129.815131,1.04119355894469,-130.314981133861,0.000409058944693896,-0.0836194016163603
224,1,115,0,0,1.0393086,-130.55811,1.03983211269837,-131.057214499025,0.000523512698367812,-0.0828737667797697
225,1,230,7.36,2.59,1.0407418,-129.819128,1.04115087345963,-130.318972284009,0.000409073459626486,-0.0836135517636336
226,1,115,2.77,0.4,1.0374514,-130.580203,1.03800094928233,-131.079326672941,0.000549549282329087,-0.0828929406958849
227,1,115,7.36,0.66,1.0374294,-130.5844,1.03797905434734,-131.083518810565,0.000549654347341999,-0.0828880783199821
228,1,115,5.62,2.19,1.040724,-130.68439,1.04135353711782,-131.182320422883,0.000629537117818435,-0.0816996906378762
229,1,115,8.94,2.36,1.0403832,-130.436805,1.04103893036363,-130.935238223241,0.000655730363634088,-0.0822024909964654
230,1,230,0,0,1.0412558,-129.058782,1.0418165234948,-129.560160279185,0.000560723494803961,-0.0851475469400924
231,1,115,6.5,0.92,1.0407476,-130.029157,1.04150527511917,-130.528275775472,0.000757675119172463,-0.0828880432265322
232,1,18,0,0,1.0405999,-130.541617,1.04146109663195,-131.039396048995,0.000861196631950056,-0.0815483167504141
233,1,1,0,0,1.0405999,-130.541617,1.04146109663195,-131.039396048995,0.000861196631950056,-0.0815483167504141
234,1,230,0,0,1.041313,-129.044745,1.04187084035626,-129.546122920319,0.000557840356264272,-0.0851471880743162
